                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.0818,                0.85416,                 1.3577,                0.95196,                0.89501,                0.95119,                 0.6983,                 0.9125,                0.89178,                 1.1674,               0.003961,               0.003961,               0.003961
                     63,                 1.0895,                0.84802,                 1.3516,                0.94945,                0.89912,                0.95305,                0.69696,                0.91846,                0.89476,                 1.1657,               0.003862,               0.003862,               0.003862
                     64,                 1.0733,                0.83478,                 1.3424,                0.95475,                0.89092,                0.95202,                0.69603,                0.91637,                0.93363,                 1.1663,               0.003763,               0.003763,               0.003763
                     65,                 1.0779,                0.83152,                 1.3479,                0.95845,                  0.893,                0.95207,                0.69911,                 0.9163,                0.97175,                 1.1663,               0.003664,               0.003664,               0.003664
                     66,                 1.0688,                0.82622,                 1.3425,                0.95314,                0.89476,                0.95157,                0.69998,                0.91661,                0.98013,                 1.1673,               0.003565,               0.003565,               0.003565
                     67,                 1.0794,                0.85064,                 1.3511,                0.95865,                0.89443,                0.95407,                0.70077,                0.91532,                0.95774,                 1.1668,               0.003466,               0.003466,               0.003466
                     68,                 1.0578,                0.81422,                 1.3286,                 0.9628,                0.89558,                0.95586,                0.70319,                0.91211,                0.93735,                 1.1597,               0.003367,               0.003367,               0.003367
                     69,                 1.0549,                0.81871,                 1.3311,                0.96519,                0.89438,                0.95609,                0.70345,                0.91372,                0.92249,                 1.1605,               0.003268,               0.003268,               0.003268
                     70,                 1.0375,                0.80695,                 1.3178,                0.96161,                 0.8961,                0.95532,                0.70339,                0.90743,                0.93011,                 1.1558,               0.003169,               0.003169,               0.003169
                     71,                 1.0436,                0.79727,                 1.3146,                0.96318,                0.89677,                 0.9559,                0.70237,                 0.9074,                0.93242,                 1.1553,                0.00307,                0.00307,                0.00307
                     72,                 1.0497,                0.80146,                 1.3198,                0.96113,                0.89904,                0.95645,                0.70519,                0.90734,                 0.9136,                 1.1545,               0.002971,               0.002971,               0.002971
